PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Abdulkadir, Ahmed; Mortamet, Benedicte; Vemuri, Prashanthi; Jack, Clifford R., Jr.; Krueger, Gunnar; Kloeppel, Stefan		Alzheimer's Dis Neuroimaging Initi		Vemuri, Prashanthi/K-7030-2012; Scharre, Douglas/E-4030-2011; Jack, Clifford/F-2508-2010; Centre d'imagerie Biomedicale, CIBM/B-5740-2012	Jack, Clifford/0000-0001-7916-622X; Abdulkadir, Ahmed/0000-0003-4679-8081			Effects of hardware heterogeneity on the performance of SVM Alzheimer's disease classifier								NEUROIMAGE				58	3			785	792		10.1016/j.neuroimage.2011.06.029					OCT 1 2011	2011										45	1	0	31	0	46			1053-8119			WOS:000294940700010	21708272	
J	Lagun, Dmitry; Manzanares, Cecelia; Zola, Stuart M.; Buffalo, Elizabeth A.; Agichtein, Eugene								Detecting cognitive impairment by eye movement analysis using automatic classification algorithms								JOURNAL OF NEUROSCIENCE METHODS				201	1			196	203		10.1016/j.jneumeth.2011.06.027					SEP 30 2011	2011										29	0	0	15	0	29			0165-0270	1872-678X		WOS:000295503700025	21801750	
J	Simonsen, A.; Mattila, J.; Hejl, A. -M.; Frederiksen, K. S.; Herruka, S. K.; Hallikainen, M.; Van Gils, M.; Lotjonen, J.; Soininen, H.; Waldemar, G.								APPLICATION OF THE PredictAD SOFTWARE TOOL for THE DIFFERENTIATION BETWEEN STABLE AND PROGRESSIVE MCI								EUROPEAN JOURNAL OF NEUROLOGY				18		SI		67	67						2	SEP 2011	2011						15th Congress of the European-Federation-of-Neurological-Societies (EFNS)15th Congress of the European-Federation-of-Neurological-Societies (EFNS)	SEP 10-13, 2011SEP 10-13, 2011	European Federat Neurol SocEuropean Federat Neurol Soc	Budapest, HUNGARYBudapest, HUNGARY	0	0	0	0	0	0			1351-5101			WOS:000294806600137		
J	Roark, Brian; Mitchell, Margaret; Hosom, John-Paul; Hollingshead, Kristy; Kaye, Jeffrey					Kaye, Jeffrey/0000-0002-9971-3478			Spoken Language Derived Measures for Detecting Mild Cognitive Impairment								IEEE TRANSACTIONS ON AUDIO SPEECH AND LANGUAGE PROCESSING				19	7			2081	2090		10.1109/TASL.2011.2112351					SEP 2011	2011										70	0	0	17	2	71			1558-7916			WOS:000293734500020	22199464	
J	Maroco, Joao; Silva, Dina; Rodrigues, Ana; Guerreiro, Manuela; Santana, Isabel; de Mendonca, Alexandre				Maroco, Joao/D-4339-2015	Maroco, Joao/0000-0001-9214-5378; de Mendonca, Alexandre/0000-0002-0488-1453; Guerreiro, Manuela/0000-0002-1948-1516; Santana, Isabel/0000-0002-8114-9434; Silva, Dina/0000-0003-4437-2765			Data mining methods in the prediction of Dementia: A real-data comparison of the accuracy, sensitivity and specificity of linear discriminant analysis, logistic regression, neural networks, support vector machines, classification trees and random forests.								BMC research notes				4				299	299		10.1186/1756-0500-4-299					2011 Aug 17	2011										97	0	0	36	0	97				1756-0500		MEDLINE:21849043	21849043	
J	Campbell, Noll L.; Khan, Babar A.; Farber, Mark; Campbell, Tiffany; Perkins, Anthony J.; Hui, Siu L.; Abernathy, Greg; Buckley, John; Sing, Regg; Tricker, Jason; Zawahiri, Mohammad; Boustani, Malaz A.								Improving delirium care in the intensive care unit: The design of a pragmatic study								TRIALS				12						139	10.1186/1745-6215-12-139					JUN 6 2011	2011										16	0	0	4	1	17			1745-6215			WOS:000292213200001	21645330	
J	Costafreda, Sergi G.; Dinov, Ivo D.; Tu, Zhuowen; Shi, Yonggang; Liu, Cheng-Yi; Kloszewska, Iwona; Mecocci, Patrizia; Soininen, Hilkka; Tsolaki, Magda; Vellas, Bruno; Wahlund, Lars-Olof; Spenger, Christian; Toga, Arthur W.; Lovestone, Simon; Simmons, Andrew				Costafreda, Sergi/A-5229-2013; Simmons, Andrew/B-8848-2008	Costafreda, Sergi/0000-0002-8910-3430; Simmons, Andrew/0000-0003-2306-5811; Mecocci, Patrizia/0000-0003-0729-5246; wahlund, lars-olof/0000-0002-9905-8426; Costafreda Gonzalez, Sergi/0000-0001-6914-086X; Lovestone, Simon/0000-0003-0473-4565; Dinov, Ivo/0000-0003-3825-4375			Automated hippocampal shape analysis predicts the onset of dementia in mild cognitive impairment								NEUROIMAGE				56	1			212	219		10.1016/j.neuroimage.2011.01.050					MAY 1 2011	2011										97	1	0	61	1	99			1053-8119	1095-9572		WOS:000289454900021	21272654	
J	Casanova, Ramon; Espeland, Mark A.; Goveas, Joseph S.; Davatzikos, Christos; Gaussoin, Sarah A.; Maldjian, Joseph A.; Brunner, Robert L.; Kuller, Lewis H.; Johnson, Karen C.; Mysiw, W. Jerry; Wagner, Benjamin; Resnick, Susan M.		Women's Hlth Initiative Memory St		Mysiw, Walter/E-3724-2011	Davatzikos, Christos/0000-0002-1025-8561; Maldjian, Joseph/0000-0002-6384-1072			Application of machine learning methods to describe the effects of conjugated equine estrogens therapy on region-specific brain volumes								MAGNETIC RESONANCE IMAGING				29	4			546	553		10.1016/j.mri.2010.12.001					MAY 2011	2011										11	0	0	8	0	11			0730-725X			WOS:000290000300009	21292420	
J	Kho, Abel N.; Pacheco, Jennifer A.; Peissig, Peggy L.; Rasmussen, Luke; Newton, Katherine M.; Weston, Noah; Crane, Paul K.; Pathak, Jyotishman; Chute, Christopher G.; Bielinski, Suzette J.; Kullo, Iftikhar J.; Li, Rongling; Manolio, Teri A.; Chisholm, Rex L.; Denny, Joshua C.				Bielinski, Suzette/A-2238-2009; Crane, Paul/C-8623-2014	Bielinski, Suzette/0000-0002-2905-5430; Denny, Josh/0000-0002-3049-7332; Crane, Paul/0000-0003-4278-7465; Rasmussen, Luke/0000-0002-4497-8049; Pacheco, Jennifer/0000-0001-8021-5818			Electronic Medical Records for Genetic Research: Results of the eMERGE Consortium								SCIENCE TRANSLATIONAL MEDICINE				3	79					79re1	10.1126/scitranslmed.3001807					APR 20 2011	2011										146	2	0	74	0	147			1946-6234			WOS:000292976700005	21508311	
J	Craig-Schapiro, Rebecca; Kuhn, Max; Xiong, Chengjie; Pickering, Eve H.; Liu, Jingxia; Misko, Thomas P.; Perrin, Richard J.; Bales, Kelly R.; Soares, Holly; Fagan, Anne M.; Holtzman, David M.					Misko, Thomas/0000-0001-7917-422X			Multiplexed Immunoassay Panel Identifies Novel CSF Biomarkers for Alzheimer's Disease Diagnosis and Prognosis								PLOS ONE				6	4					e18850	10.1371/journal.pone.0018850					APR 19 2011	2011										121	4	0	90	0	123			1932-6203			WOS:000289671100030	21526197	
J	Chang, Wei-chien; Hsu, Chien-Yeh; Wu, Po-Hsun; Kumar, Ajit								Differential Diagnosis between Degenerative and Vascular Dementia using Data Mining Algorithms								FASEB JOURNAL				25												APR 2011	2011						Experimental Biology Meeting 2011Experimental Biology Meeting 2011	APR 09-13, 2011APR 09-13, 2011	Amer Assoc Anatomists (AAA); Amer Physiolog Soc (APS); Amer Soc Biochem & Mol Biol (ASBMB); Amer Soc Investigat Pathol (ASIP); Amer Soc Nutrit (ASN); Amer Soc Pharmacol & Expt Therapeut (ASPET)Amer Assoc Anatomists (AAA); Amer Physiolog Soc (APS); Amer Soc Biochem & Mol Biol (ASBMB); Amer Soc Investigat Pathol (ASIP); Amer Soc Nutrit (ASN); Amer Soc Pharmacol & Expt Therapeut (ASPET)	Washington, DCWashington, DC	0	0	0	0	0	0			0892-6638			WOS:000310708401621		
J	Hinrichs, Chris; Singh, Vikas; Xu, Guofan; Johnson, Sterling C.		Alzheimers Dis Neuroimaging		Scharre, Douglas/E-4030-2011	Johnson, Sterling/0000-0002-8501-545X			Predictive markers for AD in a multi-modality framework: An analysis of MCI progression in the ADNI population								NEUROIMAGE				55	2			574	589		10.1016/j.neuroimage.2010.10.081					MAR 15 2011	2011										202	2	0	115	2	206			1053-8119	1095-9572		WOS:000287556200016	21146621	
J	Apostolova, Liana; Hwang, Kristy; Kohannim, Omid; Jack, Clifford; Shaw, Leslie; Trojanowski, John; Weiner, Michael; Thompson, Paul								Automated Diagnostic Classifiers for Mild Cognitive Impairment and Alzheimer's Disease Using Neuroimaging and CSF Biomarkers								NEUROLOGY				76	9			A301	A301						4	MAR 1 2011	2011						63rd AAN Annual Meeting63rd AAN Annual Meeting	APR 09-16, 2011APR 09-16, 2011		Honolulu, HIHonolulu, HI	0	0	0	0	0	0			0028-3878			WOS:000288149301501		
J	Pakhomov, Serguei; Chacon, Dustin; Wicklund, Mark; Gundel, Jeanette								Computerized assessment of syntactic complexity in Alzheimer's disease: a case study of Iris Murdoch's writing								BEHAVIOR RESEARCH METHODS				43	1			136	144		10.3758/s13428-010-0037-9					MAR 2011	2011										19	0	0	6	0	19			1554-351X			WOS:000288020200012	21287110	
J	Ritchie, Lesley J.; Tuokko, Holly								Clinical Decision Trees for Predicting Conversion from Cognitive Impairment No Dementia (CIND) to Dementia in a Longitudinal Population-Based Study								ARCHIVES OF CLINICAL NEUROPSYCHOLOGY				26	1			16	25		10.1093/arclin/acq089					FEB 2011	2011										5	1	0	3	0	6			0887-6177			WOS:000286462500003	21147863	
S	Fernandez-Llatas, Carlos; Miguel Garcia-Gomez, Juan; Vicente, Javier; Carlos Naranjo, Juan; Robles, Monserrat; Miguel Benedi, Jose; Traver, Vicente			IEEE	Fernandez-Llatas, Carlos/B-2957-2013; Garcia-Gomez, Juan/G-2681-2016; Benedi, Juana/K-9740-2014; Robles, Montserrat/A-6722-2016; Traver, Vicente/B-8139-2015	Fernandez-Llatas, Carlos/0000-0002-2819-5597; Garcia-Gomez, Juan/0000-0002-3851-1557; Benedi, Juana/0000-0002-3796-639X; Robles, Montserrat/0000-0002-7705-1389; Traver, Vicente/0000-0003-1806-8575; Vicente, Javier/0000-0002-3567-4174			Behaviour patterns detection for persuasive design in Nursing Homes to help dementia patients								2011 ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY (EMBC)		IEEE Engineering in Medicine and Biology Society Conference Proceedings						6413	6417							2011	2011						33rd Annual International Conference of the IEEE Engineering-in-Medicine-and-Biology-Society (EMBS)33rd Annual International Conference of the IEEE Engineering-in-Medicine-and-Biology-Society (EMBS)	AUG 30-SEP 03, 2011AUG 30-SEP 03, 2011	IEEE; Engn Med & Biol Soc (EMBS)IEEE; Engn Med & Biol Soc (EMBS)	Boston, MABoston, MA	8	0	0	1	0	8			1557-170X		978-1-4244-4122-8	WOS:000298810004329	22255806	
S	Escudero, Javier; Zajicek, John P.; Ifeachor, Emmanuel		Alzheimer's Dis Neuroimaging Initi	IEEE	Escudero, Javier/B-4185-2008	Escudero, Javier/0000-0002-2105-8725			Machine Learning Classification of MRI Features of Alzheimer's Disease and Mild Cognitive Impairment Subjects to Reduce the Sample Size in Clinical Trials								2011 ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY (EMBC)		IEEE Engineering in Medicine and Biology Society Conference Proceedings						7957	7960							2011	2011						33rd Annual International Conference of the IEEE Engineering-in-Medicine-and-Biology-Society (EMBS)33rd Annual International Conference of the IEEE Engineering-in-Medicine-and-Biology-Society (EMBS)	AUG 30-SEP 03, 2011AUG 30-SEP 03, 2011	IEEE; Engn Med & Biol Soc (EMBS)IEEE; Engn Med & Biol Soc (EMBS)	Boston, MABoston, MA	10	0	0	4	0	10			1557-170X		978-1-4244-4122-8	WOS:000298810006020	22256186	
J	Haller, Sven; Lovblad, Karl O.; Giannakopoulos, Panteleimon					Giannakopoulos, Panteleimon/0000-0003-4624-7386; Haller, Sven/0000-0001-7433-0203; lovblad, karl-olof/0000-0003-2768-9779			Principles of Classification Analyses in Mild Cognitive Impairment (MCI) and Alzheimer Disease								JOURNAL OF ALZHEIMERS DISEASE				26				389	394		10.3233/JAD-2011-0014				3	2011	2011										21	0	0	13	0	21			1387-2877			WOS:000297842800031	21971478	
S	Kumar, N. Kiran; Santosh, G. S. K.; Varma, Vasudeva						Munoz, R; Montoyo, A; Metais, E		Effectively Mining Wikipedia for Clustering Multilingual Documents								NATURAL LANGUAGE PROCESSING AND INFORMATION SYSTEMS		Lecture Notes in Computer Science		6716				254	257							2011	2011						16th International Conference on Applications of Natural Language to Information Systems (NLDB)16th International Conference on Applications of Natural Language to Information Systems (NLDB)	JUN 28-30, 2011JUN 28-30, 2011	Conseller Educacio Generalitat ValencianaConseller Educacio Generalitat Valenciana	Univ Alicante, Alicante, SPAINUniv Alicante, Alicante, SPAIN	0	0	0	0	0	0			0302-9743		978-3-642-22326-6	WOS:000392116900031		
S	Wang, Dong; Evans, Nicholas; Troncy, Raphael; King, Simon			IEEE		King, Simon/0000-0002-2694-2843; Troncy, Raphael/0000-0003-0457-1436			HANDLING OVERLAPS IN SPOKEN TERM DETECTION								2011 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH, AND SIGNAL PROCESSING		International Conference on Acoustics Speech and Signal Processing ICASSP						5656	5659							2011	2011						IEEE International Conference on Acoustics, Speech, and Signal Processing (ICASSP)IEEE International Conference on Acoustics, Speech, and Signal Processing (ICASSP)	MAY 22-27, 2011MAY 22-27, 2011	Inst Elect & Elect Engineers Signal Processing Soc; IEEEInst Elect & Elect Engineers Signal Processing Soc; IEEE	Prague Congress Ctr, Prague, CZECH REPUBLICPrague Congress Ctr, Prague, CZECH REPUBLIC	3	0	0	0	0	3			1520-6149		978-1-4577-0539-7	WOS:000296062406091		
J	Whitwell, Jennifer L; Vemuri, Prashanthi								Assessing subtle structural changes in Alzheimer's disease patients.								Methods in molecular biology (Clifton, N.J.)				711				535	50		10.1007/978-1-61737-992-5_27					2011	2011										2	0	0	1	0	2				1940-6029		MEDLINE:21279621	21279621	
S	Kumar, Kiran N.; Santosh, G. S. K.; Varma, Vasudeva						Hanbury, A; Rauber, A; DeVries, AP		Multilingual Document Clustering Using Wikipedia as External Knowledge								MULTIDISCIPLINARY INFORMATION RETRIEVAL		Lecture Notes in Computer Science		6653				108	117							2011	2011						2nd Information Retrieval Facility Conference (IRFC)2nd Information Retrieval Facility Conference (IRFC)	JUN 06, 2011JUN 06, 2011	Google; European Informat Retrieval Specialist Grp (CEPIS-EIRSG)Google; European Informat Retrieval Specialist Grp (CEPIS-EIRSG)	Vienna, AUSTRIAVienna, AUSTRIA	3	1	0	0	0	4			0302-9743		978-3-642-21353-3	WOS:000305903200009		
S	Kumar, N. Kiran; Santosh, G. S. K.; Varma, Vasudeva						Forner, P; Gonzalo, J; Kekalainen, J; Lalmas, M; DeRijke, M		A Language-Independent Approach to Identify the Named Entities in Under-Resourced Languages and Clustering Multilingual Documents								MULTILINGUAL AND MULTIMODAL INFORMATION ACCESS EVALUATION		Lecture Notes in Computer Science		6941				74	82							2011	2011						2nd International Conference of the Cross-Language Evaluation Forum, CLEF 20112nd International Conference of the Cross-Language Evaluation Forum, CLEF 2011	SEP 19-22, 2011SEP 19-22, 2011	Univ Amsterdam, Ctr Creat, Content & Technol; City Amsterdam; ELIAS Res Network Programme; European Language Resources Assoc; Microsoft Res; Netherlands Inst Sound Vision; Netherlands Org Sci Res; PROMISE Network Excellence; Univ Amsterdam; Xerox Res Ctr EuropeUniv Amsterdam, Ctr Creat, Content & Technol; City Amsterdam; ELIAS Res Network Programme; European Language Resources Assoc; Microsoft Res; Netherlands Inst Sound Vision; Netherlands Org Sci Res; PROMISE Network Excellence; Univ Amsterdam; Xerox Res Ctr Europe	Amsterdam, NETHERLANDSAmsterdam, NETHERLANDS	5	0	0	0	0	5			0302-9743		978-3-642-23707-2	WOS:000306674600009		
S	Kreuzthaler, Markus; Schulz, Stefan						Moen, A; Andersen, SK; Aarts, J; Hurlen, P		Truecasing Clinical Narratives								USER CENTRED NETWORKED HEALTH CARE		Studies in Health Technology and Informatics		169				589	593		10.3233/978-1-60750-806-9-589					2011	2011						23 rd Conference of the European Federation of Medical Informatics (MIE)23 rd Conference of the European Federation of Medical Informatics (MIE)	AUG 28-31, 2011AUG 28-31, 2011	European Federat Med InformatEuropean Federat Med Informat	Forum Databehandling Helsesektoren, Oslo, NORWAYForum Databehandling Helsesektoren, Oslo, NORWAY	0	0	0	0	0	0			0926-9630		978-1-60750-806-9	WOS:000335401700115	21893817	
J	Cao, Yong-gang; Cimino, James J.; Ely, John; Yu, Hong					Cimino, James/0000-0003-4101-1622			Automatically extracting information needs from complex clinical questions								JOURNAL OF BIOMEDICAL INFORMATICS				43	6			962	971		10.1016/j.jbi.2010.07.007					DEC 2010	2010										18	0	0	6	0	18			1532-0464	1532-0480		WOS:000285036700012	20670693	
J	Kestemont, Mike; Daelemans, Walter; De Pauw, Guy				Daelemans, Walter/N-5785-2014	Daelemans, Walter/0000-0002-9832-7890; Kestemont, Mike/0000-0003-3590-693X			Weigh your words-memory-based lemmatization for Middle Dutch								LITERARY AND LINGUISTIC COMPUTING				25	3			287	301		10.1093/llc/fqq011					SEP 2010	2010										14	0	0	0	0	14			0268-1145			WOS:000284758900002		
J	Kohannim, Omid; Hua, Xue; Hibar, Derrek P.; Lee, Suh; Chou, Yi-Yu; Toga, Arthur W.; Jack, Clifford R., Jr.; Weiner, Michael W.; Thompson, Paul M.		Alzheimer's Dis Neuroimaging Initi		Scharre, Douglas/E-4030-2011; Jack, Clifford/F-2508-2010; Thompson, Paul/C-4194-2018	Jack, Clifford/0000-0001-7916-622X; Thompson, Paul/0000-0002-4720-8867			Boosting power for clinical trials using classifiers based on multiple biomarkers								NEUROBIOLOGY OF AGING				31	8	SI		1429	1442		10.1016/j.neurobiolaging.2010.04.022					AUG 2010	2010										97	2	0	60	1	100			0197-4580	1558-1497		WOS:000279991800015	20541286	
J	Chen, Rong; Herskovits, Edward H.								Machine-learning techniques for building a diagnostic model for very mild dementia								NEUROIMAGE				52	1			234	244		10.1016/j.neuroimage.2010.03.084					AUG 1 2010	2010										24	1	0	11	0	25			1053-8119			WOS:000278637700023	20382237	
J	Stonnington, Cynthia M.; Chu, Carlton; Kloeppel, Stefan; Jack, Clifford R., Jr.; Ashburner, John; Frackowiak, Richard S. J.		Alzheimer Dis Neuroimaging		Frackowiak, Richard/H-4383-2011; Frackowiak, Richard/I-1809-2013; Ashburner, John/I-3757-2013; Jack, Clifford/F-2508-2010	Frackowiak, Richard/0000-0002-3151-822X; Ashburner, John/0000-0001-7605-2518; Jack, Clifford/0000-0001-7916-622X			Predicting clinical scores from magnetic resonance scans in Alzheimer's disease								NEUROIMAGE				51	4			1405	1413		10.1016/j.neuroimage.2010.03.051					JUL 15 2010	2010										115	1	1	58	0	116			1053-8119	1095-9572		WOS:000278042000013	20347044	
J	Baek, Woongki; Chilimbi, Trishul M.								Green: A Framework for Supporting Energy-Conscious Programming using Controlled Approximation								ACM SIGPLAN NOTICES				45	6			198	209		10.1145/1809028.1806620					JUN 2010	2010						ACM SIGPLAN Conference on Programming Language Design and ImplementationACM SIGPLAN Conference on Programming Language Design and Implementation	JUN 05-10, 2010JUN 05-10, 2010	AMC SIGPLAN; ACM SIGSOFTAMC SIGPLAN; ACM SIGSOFT	Toronto, CANADAToronto, CANADA	37	1	0	0	0	38			0362-1340	1558-1160		WOS:000279357500017		
J	Apostolova, Liana G.; Morra, Jonathan H.; Green, Amity E.; Hwang, Kristy S.; Avedissian, Christina; Woo, Ellen; Cummings, Jeffrey L.; Toga, Arthur W.; Jack, Clifford R., Jr.; Weiner, Michael W.; Thompson, Paul M.		Alzheimer's Dis Neuroimaging Initi		Jack, Clifford/F-2508-2010; Thompson, Paul/C-4194-2018	Jack, Clifford/0000-0001-7916-622X; Thompson, Paul/0000-0002-4720-8867; Watson, Amity/0000-0002-8336-8622			Automated 3D mapping of baseline and 12-month associations between three verbal memory measures and hippocampal atrophy in 490 ADNI subjects								NEUROIMAGE				51	1			488	499		10.1016/j.neuroimage.2009.12.125					MAY 15 2010	2010										53	0	0	28	0	53			1053-8119	1095-9572		WOS:000276480200048	20083211	
J	Wang, Ying; Fan, Yong; Bhatt, Priyanka; Davatzikos, Christos					Fan, Yong/0000-0001-9869-4685; Davatzikos, Christos/0000-0002-1025-8561; Wang, Ying/0000-0001-8537-3954			High-dimensional pattern regression using machine learning: From medical images to continuous clinical variables								NEUROIMAGE				50	4			1519	1535		10.1016/j.neuroimage.2009.12.092					MAY 1 2010	2010										88	3	0	47	0	91			1053-8119			WOS:000276023500019	20056158	
J	Elkin, Peter L.; Froehling, David; Wahner-Roedler, Dietlind; Trusko, Brett; Welsh, Gail; Rosenbloom, S. Trent; Speroff, Theodore; Brown, Steven H.								The Health Archetype Language (HAL-42): Interface considerations								INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS				79	4			E71	E75		10.1016/j.ijmedinf.2008.07.009					APR 2010	2010										2	0	0	0	0	2			1386-5056	1872-8243		WOS:000276191600015	18922738	
